;Release

N=9000 M=256
Pool   Time : 0.002649
Malloc Time : 0.003847

N=9000 M=504
Pool   Time : 0.005348
Malloc Time : 0.005704

N=9000 M=512
Pool   Time : 0.014309
Malloc Time : 0.006709

N=9000 M=1016
Pool   Time : 0.014452
Malloc Time : 0.010980

N=9000 M=1024
Pool   Time : 0.044515
Malloc Time : 0.010967


N=10000 M=16
Pool   Time : 0.000562
Malloc Time : 0.001849

N=10000 M=16
Pool   Time : 0.000547
Malloc Time : 0.001824

N=10000 M=32
Pool   Time : 0.000680
Malloc Time : 0.002158

N=10000 M=64
Pool   Time : 0.001065
Malloc Time : 0.002364

N=10000 M=128
Pool   Time : 0.001643
Malloc Time : 0.003157

N=10000 M=256
Pool   Time : 0.002932
Malloc Time : 0.004572

N=10000 M=375
Pool   Time : 0.006178
Malloc Time : 0.005237

N=10000 M=504
Pool   Time : 0.006004
Malloc Time : 0.006747

N=90000 M=8
Pool   Time : 0.004030
Malloc Time : 0.013717

N=90000 M=64
Pool   Time : 0.010498
Malloc Time : 0.022651

N=90000 M=375
Pool   Time : 0.241770
Malloc Time : 0.052882

N=90000 M=500
Pool   Time : 0.249433
Malloc Time : 0.114241




===
## 260507
Debug
N       M       Pool    Malloc
1000    8       0.0000  0.0001  0.0000
1000    16      0.0001  0.0000  0.0000
1000    32      0.0000  0.0001  0.0001
1000    64      0.0001  0.0001  0.0001
1000    128     0.0001  0.0001  0.0002
1000    256     0.0002  0.0001  0.0003
1000    504     0.0003  0.0002  0.0006
1000    1016    0.0007  0.0006  0.0013
1000    2040    0.0013  0.0013  0.0026
1000    4080    0.0025  0.0030  0.0056
6000    8       0.0001  0.0002  0.0003
6000    16      0.0001  0.0002  0.0002
6000    32      0.0002  0.0004  0.0003
6000    64      0.0003  0.0004  0.0005
6000    128     0.0006  0.0006  0.0010
6000    256     0.0010  0.0012  0.0020
6000    504     0.0020  0.0023  0.0049
6000    1016    0.0055  0.0045  0.0093
6000    2040    0.0125  0.0096  0.0184
6000    4080    0.0192  0.0189  0.0397
11000   8       0.0002  0.0005  0.0002
11000   16      0.0003  0.0003  0.0003
11000   32      0.0004  0.0007  0.0005
11000   64      0.0006  0.0015  0.0010
11000   128     0.0011  0.0012  0.0020
11000   256     0.0025  0.0024  0.0044
11000   504     0.0038  0.0044  0.0086
11000   1016    0.0074  0.0085  0.0174
11000   2040    0.0177  0.0162  0.0357
11000   4080    0.0348  0.0350  0.0741
